address,name,symbol,decimals
0x442Bc47357919446eAbC18C7211E57a13d983469,Chatcoin,CHAT,18
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,BNB,18
0x9a642d6b3368ddc662CA244bAdf32cDA716005BC,Qtum,QTUM,18
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,BNB,18
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,BNB,18
0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,Bancor Network Token,BNT,18
0x9a642d6b3368ddc662CA244bAdf32cDA716005BC,Qtum,QTUM,18
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,BNB,18
0x9a642d6b3368ddc662CA244bAdf32cDA716005BC,Qtum,QTUM,18
0x744d70FDBE2Ba4CF95131626614a1763DF805B9E,Status Network Token,SNT,18
0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,Bancor Network Token,BNT,18
0x744d70FDBE2Ba4CF95131626614a1763DF805B9E,Status Network Token,SNT,18
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,BNB,18
0x9a642d6b3368ddc662CA244bAdf32cDA716005BC,Qtum,QTUM,18
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,BNB,18
0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,Wrapped Ether,WETH,18
0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,PancakeSwap Token,Cake,18
0x55d398326f99059fF775485246999027B3197955,Tether USD,USDT,18
0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,(PoS) Dai Stablecoin,DAI,18
0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USD Coin (PoS),USDC,6
0xc2132D05D31c914a87C6611C10748AEb04B58e8F,(PoS) Tether USD,USDT,6
0x6360f18d715285e91d702d5d3d7E5D1c6d78a84e,XTUSDX,XTUSDX,6
0x12e34cDf6A031a10FE241864c32fB03a4FDaD739,FREE coin BSC,FREE,18
0xC7d8D35EBA58a0935ff2D5a33Df105DD9f071731,Hedget,HGET,6
0x12e34cDf6A031a10FE241864c32fB03a4FDaD739,FREE coin BSC,FREE,18
0xD44FD09d74cd13838F137B590497595d6b3FEeA4,CryptoMines Eternal,ETERNAL,18
0x7e9928aFe96FefB820b85B4CE6597B8F660Fe4F4,Orbit Bridge Polygon Binance Coin,oBNB,18
0xB0D502E938ed5f4df2E681fE6E419ff29631d62b,StargateToken,STG,18
0x98a5737749490856b401DB5Dc27F522fC314A4e1,BUSD Token-LP,S*BUSD,6
0x9aA83081AA06AF7208Dcc7A4cB72C94d057D2cda,Tether USD-LP,S*USDT,6
0xBCEA09e9e882eC2Bb6dCE07c4e6669968846CaBD,Pancake LPs,Cake-LP,18
0xCC42724C6683B7E57334c4E856f4c9965ED682bD,Matic Token,MATIC,18
0xD22202d23fE7dE9E3DbE11a2a88F42f4CB9507cf,Minereum32,M32,18
0xb16600C510b0f323dEE2cb212924D90e58864421,GoFlux.io,FLUX,18
0x2170Ed0880ac9A755fd29B2688956BD959F933F8,Ethereum Token,ETH,18
0x8076C74C5e3F5852037F31Ff0093Eeb8c8ADd8D3,SafeMoon,SAFEMOON,9
0xD22202d23fE7dE9E3DbE11a2a88F42f4CB9507cf,Minereum32,M32,18
0xb16600C510b0f323dEE2cb212924D90e58864421,GoFlux.io,FLUX,18
0xEf27B9Cb67aa93eC3494A60F1EA9380e86175B26,AGMC.io,AGMC.io,18
0x491B25000D386Cd31307580171a510D32D7e64ee,FF18.io,FF18.io,18
0x4B0F1812e5Df2A09796481Ff14017e6005508003,Trust Wallet,TWT,18
0x2170Ed0880ac9A755fd29B2688956BD959F933F8,Ethereum Token,ETH,18
0x8076C74C5e3F5852037F31Ff0093Eeb8c8ADd8D3,SafeMoon,SAFEMOON,9
0xD22202d23fE7dE9E3DbE11a2a88F42f4CB9507cf,Minereum32,M32,18
0xb16600C510b0f323dEE2cb212924D90e58864421,GoFlux.io,FLUX,18
0xEf27B9Cb67aa93eC3494A60F1EA9380e86175B26,AGMC.io,AGMC.io,18
0x491B25000D386Cd31307580171a510D32D7e64ee,FF18.io,FF18.io,18
0x4B0F1812e5Df2A09796481Ff14017e6005508003,Trust Wallet,TWT,183SghkPdBSrpF9bzdAy5LwR4nGgFbqNcC6ZSq8vtZdj91,EveryOne Coin,EV1,9
NGK3iHqqQkyRZUj4uhJDQqEyKKcZ7mdawWpqwMffM3s,Yaku,YAKU,0
CbNYA9n3927uXUukee2Hf4tm3xxkffJPPZvGazc2EAH1,agEUR (Portal),agEUR,8
31GpPxe1SW8pn7GXimM73paD8PZyCsmVSGTLkwUAJvZ8,ANGLE (Portal),ANGLE,8
G6nZYEvhwFxxnp1KZr1v9igXtipuB5zL6oDGNMRZqF3q,EA Bad,BAD,9
Fm9rHUTF5v3hwMLbStjZXqNBBoZyGriQaFM6sTFz3K8A,MonkeyBucks,MBS,6
FCuoMii64H5Ee4eVWBjP18WTFS8iLUJmGi16Qti1xFQ2,Emerald Block,EDB,9
HfYFjMKNZygfMC8LsQ8LtpPsPxEJoXJx4M6tqi75Hajo,Cryowar Token,CWAR,9
BqRtfrNpvRAW3KW319hvhPoTu76wKU2LTdXJyG9CyDze,EchoDao,ECHO,9
HCXXtXPasqcF4BVsrPQPfHMQPUofoCbDbjsTUANFSHDR,MONKE TOKEN,MONKE,9
7gfwZiMD3B6hJWxejr4E3PdsfyVndfuGuk97LfDhJNNh,DickButt,DIBU,9
6JdcMdhqgCtcP4U9tieRqmKLhPLxRMLC67QfmdXAJBvZ,KITTY SOLANA,KITTY,6
HDiA4quoMibAGeJQzvxajp3Z9cvnkNng99oVrnuNj6px,KING SAMO,KSAMO,6
73YQDsoPB3t5n5GqX53tKrwJK1n6HCZ935MEbo2gEYU5,Kajame,KAJAME,4
DJKX1cX2SPPaTdYBeuriUeQUUEpi2UGBGGPQthNMrgaa,MONKE TOKEN,MONKE,9
6TgvYd7eApfcZ7K5Mur7MaUQ2xT7THB4cLHWuMkQdU5Z,Otter Finance,OTR,9
382HfaEjcUNhwoGbYmL58DVX8GUvjrXiTPchCWKjchWA,SHEEPLANA,SPLN,6
EH49ziLeKhJtzUzdys5238pSKpvrgJvmi3EStrZ9QaY7,Rainc,RAC,4
2mDJPcvv7vigZo9ZPxhHLpKQSixCkbohVY35eX6NkN6m,TokenBook,TBK,9
DcvJP16Cw5oqTbtHmpJ4JGXaqBvV5m6eMZj5rGsFLpwU,BABY OOGI,BOOGI,4
48iGP5MUTZ8DCfDvZ9dpgKySP2iekQ3zPKZM8AhDjEmw,Viraverse,VIRAL,6
2WnVfjtW9QttRwqxn3RPnHBFHMR3cyA5Ca3zug41Q9Xb,Golden Techie Hannibal Token,HNI,0
CgbJxXyaHeU8VsquBpySuFXA94b6LWXxioZ28wRr8fs9,Viral Inu,VINU,6
6bLp99VoqKU1C3Qp6VTNvSoCoc78jMGxPkGSSopq8wHB,Solana Paws,Paws,2
GGupQCMnyEmHKcqFu72qCTm6yEYpVyhouY9dSAMEXLsC,Dogecoin Cash,DOGEC,9
2d9LcdAQCnxPHSca6frjQzYKapNzB7caSuLKpeWBctvT,TABOO TOKEN,Taboo,9
CrhUSH7FDwB37BYvPsVnVbsGVeE81biBzfkD4A4fyJMv,Viking Legend,Vikings,9
3BYQt5MtdUSDkGwPa7F5pxFNx6csyUK2zAqNgoAsQ96h,VIKINGxFLOKI,VIKINGxFLOKI,9
zWxLppNEHinqYbQffzp2T5yNXUzyQUsHZ39nxjTqk6F,Meta Syndrome,METAS,9
8sMa1Jfcpt2eSkKDtcd6rurX27gqxkrEvXn5jHt3suGB,DogeMoonxSOL,DGMOON,9
8g9kLFgtHF4kMVjGbpnPNUU8QbxMHpLZTKhAJyvwr9on,Meta Cat,MCAT,9
H5TA9LexsmmvLM49zdEkbaPCcHJed8TTFtRqny81tEaK,xVideo Token,xVideos,9
roCKojKezC7HhPxph5qb4UBasvmZJWgegCF57PvaV2f,RockDeFi,ROCK,6
FeGm2DB4EWHm2LS8ABnRatzARDRYFyUPkLsSJkJwBuSu,FLOKIMUSK (Portal),FKM,8
usdrQqxAGgWsBRzzcckAi9ZAzHp19rFCNn87p4Q8Eir,RockDeFi Stablecoin,USDR,6
9cU8yLEAidMNVGEq6QHPe2ktN7SV2qqvLABth8YiSwYx,Parm Coin,PARM,6
A9Nc6Yo9YGKsaeAb2nsQFSQpLcdotGqjEJmEQFzZeeqX,Good Morning Coin,GM,9
AMp8Jo18ZjK2tuQGfjKAkkWnVP4NWX5sav4NJH6pXF2D,AstraPad,ASTRA,9
45u9AsJtN2KkYpH6GCXtwuoDF7HwgMjTQ84xfH6SJYQy,Pedals Up Token,PUT,10
2kzNeq9Yc6rghrgSfat3cvBkmK9JiePaLv7B4r1YKGDX,Futtbucks,FUTT,9
DE3Tv7eWpXGanVQC9RW1P9RG6AHWtC8VgYS9hRRVcF93,Futtbucks,FUTT,9
6SKogZxCWY9jKsKPMT3ChJUhQxAEeB6NjVidXQK6TEdW,Golden Doge Solana,GDoge,1
FaiPGacTM7YBmacumbg4ZnDx7sKtGcG3LkcVoqfddEA7,theBULL Coin,BULL,0
2XSuy8RSESbtYRBbVHxGWuoikn3B6iXKVKzN4i3owTCf,BUFF SAMO,BSAMO,9
DNmxHPgeVLSofyAriirHybKoNx1baM2ufiHKs1W7YyPc,RoyalPangolins,RPN,9
FdnEZ71hjabwo6Eo6XHGyK4QrE1tVQtBoTGMmgWYAuDn,Gold Doge Solana,GDoge,6
4eG64sB6SpvXve4WoRAN956UFKoETLP4JDyMU51TMdep,WIZ WIT Token,WZWT,9
Bjgh4YsLdicr8WArz9ftdSmpWNcQjsZ9KV3w9fkjiLG,SolRaca,SOLRC,8
45HfvXJHY9msY2i4EmUpume1mSMLUvdaWsJRbctAobQM,Monster Inu,INU,0
FEYFyLCFLcBNfSuaf2eXNvyY5Jpii7zg9X48Br5vyenG,Stether,SUSDT,2
8ZY7EkwN7LxifYvvrQDbpjqxkrjHUFMwWgq8fupNNvub,daib test token,BIAD,6
4JEaBv49a4KdSrMduKZS3PcBCcPmPEmaY3uP7kXv6cj6,Ass Coin,$ASS,9
X71v8NH6dbLwPsn4TR1Tx38K4uWgGZ78mC599XSPJox,NSPACE Supporter,SNS,9
NpgsBSfavf5hmUeGQAbMz5pHDtXhn9ZFNRQypTr8Tfv,My NFT Space,NSPACE,9
67Z7Pr4pX5iMczBox2bCgeU7Dy6SJRm2kZaMJoptstse,Komondor,KOMO,9
p31qJ7LDLNRC57rU5GsXxFGBsnXheFXSsEn3avPoKDc,Artchive-Coin,ART,8
BiDB55p4G3n1fGhwKFpxsokBMqgctL4qnZpDH1bVQxMD,Decimated,DIO,9
7QTcx3LuVfPSZxVzFJcTmbpQCL35jkfoNSzx4qouX495,AKELA,AKELA,9
3EkHyexJLGCvSxzn5umbtd9N69GoT4p5pfdLTFqCNP9Y,Hippo Coin,HIPPO,9
BLT1noyNr3GttckEVrtcfC6oyK6yV1DpPgSyXbncMwef,Blocto Token,BLT,8
FoqP7aTaibT5npFKYKQQdyonL99vkW8YALNPwWepdvf5,BIP,BIP,9
2R78szN1fZeQvSmeiUPe7Db7BFTPee5EVE2FduQx8Wtw,MONDOCOIN,USDMD,9
BYLotMdQmq579hhP9xDcuCJky9kmMrbp77eoktmm7a5Y,CryptoKnight's Gold,CKG,6
F9tytWqLUAPXQTy6dejGtSgvJQZWYC71naD5bCi6caGX,INUGAMI Coin,INUGAMI,6
B7RDhZ2iqE4FEwK5nfcZ9r2xhVL6rQJCo1dcjDXnF688,Latte,LAT,8
7Q2afV64in6N6SeZsAAB81TJzwDoD6zpqmHkzi9Dcavn,JPOOL Solana Token,JSOL,9
7JYZmXjHenJxgLUtBxgYsFfoABmWQFA1fW3tHQKUBThV,Solana Weed,WEED,6
GaAzf7jwEKTouDXJExH9TKfvX3Ae7fLaGwNuEajq7KsE,Bark o Finance,BARK,1
5jFnsfx36DyGk8uVGrbXnVUMTsBkPXGpx6e69BiGFzko,Solana INU,INU,9
GJsBLZPMConURkFkewZskmJLFjnYVSENZtHjqV7GnohC,DORAEMON TOKEN FANS,EMON,9
7mNihWEjzWv9yCZc8capE4mS8v5Xvp5YH2yQhtZrQV5B,Solana Breakpoint,SBreakpoint,9
6Km8PRUQxPmNX6EhmAuu3sFEnCP6uT2Yt42zPFR6VNnD,RugCoin,RUG,8
JTTez7NDqtU4ZqZJmLLXt6K9f75izfTApQqmvMCn4jU,Japan Travel Token,JTT,0
7K1ad6gYMDbRssecDkGdGpaRueSezZpgD28uYsyaEA8f,SolNack,SLNACK,9
8hK6Vq53gwwYmvM2HuEeycGFn6ZDfynccHSuNJhWrTyd,1Coin,1Coin,10
3SaUThdYFoUX2FYUi9ZPf2TKTu3UYKhNHhXb2Y6najRg,Hello Token,HIT,9
9ae76zqD3cgzR9gvf5Thc2NN3ACF7rqqnrLqxNzgcre6,WipeMyAss,WIPE,9
FTkj421DxbS1wajE74J34BJ5a1o9ccA97PkK6mYq9hNQ,Synex Coin,MINECRAFT,9
EkDf4Nt89x4Usnxkj4sGHX7sWxkmmpiBzA4qdDkgEN6b,SolaLambo,SOB,9
Hj4sTP4L4rvR9WBR6KyK99sxPptBQQczNWe4y15mxhRD,Sola Ninja,SNJ,9
9YdABeMBMjh5Pu8yPkJ9GETGWUT8KUK3B2RYBpjKNPsU,GTA LIVE,GTA,8
GqWbZDQaeJsiscgtGpDrJsNCxxeuHqJCGKs4oWBY1aYQ,GTA LIVE,GTA,4
6H87YFkp5LHyN3KzDXa5r3QYce7WTcwYJi9SqwH3TXkQ,Akamaru Inu,AINU,1
BZopZtZHqUY7ApiYTLjztQSgBoAsqQsJU3kFqHW27qEK,Nick Token,NICK,9
6Vg88xUHUPU9MfddHpu2cgx6CdodReiU8eGLPJgyhyVZ,WHALEBE,WLB,9
9SLCSSkEYL9YbKtAvw39xNzMEV4a7oLisGXhSJt73UCu,Kevin Token,KEVIN,3
AeTzmX6QcL6tWKMRTKVW9ee8fPmCieKzgfmiU7ZaY4gu,Shih Tzu,SHIHT,9
AATiVPgFBTJejUJrmkwnwH8UTr69CtfodGVCwMvrCa2U,Solmanians,SOLM,8
ALMmmmbt5KNrPPUBFE4dAKUKSPWTop5s3kUGCdF69gmw,Almond,ALM,6
